"CASE";"gender";"insta";"edu";"age";"plz";"REF";"grp";"interesse";"fertighaeuf";"werbungkauf";"prodkenn";"gefallen";"kauf";"planzlich";"minuten"
"726";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"40";NA;"Influencerin";"4";"7";"1";"2";"1";"5";NA;"4"
"733";"männlich";"Ja";"Abitur, Hochschulreife";"23";"13";NA;"Werbung";"3";"6";"3";"2";"1";"5";"4";NA
"744";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";NA;"Influencerin";"3";"6";"2";"2";"3";"3";NA;"1"
"730";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"21";"13";NA;"Werbung";"2";"2";"1";"2";"1";"5";"1";NA
"762";"weiblich";"Ja";"Noch Schüler";"18";"14";NA;"Influencerin";"3";"6";"1";"2";"1";"3";NA;"1"
"748";"männlich";"Ja";"Abitur, Hochschulreife";"18";"14";NA;"Werbung";"2";"3";"1";"2";"3";"2";"1";NA
"773";NA;"Ja";"Abitur, Hochschulreife";"19";"14";NA;"Influencerin";"2";"2";"3";"2";"3";"4";NA;"4"
"783";"männlich";"Ja";"Abitur, Hochschulreife";"22";"10";"a5";"Werbung";"2";"6";"3";"2";"4";"2";"1";NA
"789";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"12";"a2";"Influencerin";"2";"2";"1";"2";"2";"2";NA;"1"
"798";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";NA;"Werbung";"2";"3";"1";"2";"3";"4";"1";NA
"824";"weiblich";"Nein";"Noch Schüler";"18";NA;"a1";"Influencerin";"1";"1";"2";"2";"1";"5";NA;"4"
"833";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"21";"13";"a1";"Werbung";"2";"2";"1";"2";"1";"5";"1";NA
"847";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"13";"a5";"Influencerin";"3";"6";"2";"2";"2";"5";NA;"1"
"849";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";NA;"Werbung";"2";"3";"1";"2";"5";"2";"1";NA
"860";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"20";"12";"a2";"Werbung";"2";"2";"1";"2";"2";"3";"3";NA
"873";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"23";"13";"a1";"Influencerin";"3";"6";"3";"2";"4";"5";NA;"3"
"805";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"37";"a2";"Influencerin";"2";"3";"3";"2";"1";"5";NA;"1"
"885";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a1";"Werbung";"2";"3";"1";"2";"4";"3";"1";NA
"892";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a1";"Influencerin";"3";"6";"1";"2";"1";"5";NA;"1"
"896";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"14";"a1";"Influencerin";"3";"6";"3";"2";"1";"4";NA;"1"
"910";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"25";"53";"a1";"Influencerin";"2";"3";"1";"2";"2";"4";NA;"1"
"916";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"40";"a1";"Werbung";"4";"7";"1";"2";"1";"5";"4";NA
"923";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"30";"14";NA;"Werbung";"2";"2";"2";"2";"1";"5";"1";NA
"941";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"27";"14";"a1";"Influencerin";"2";"6";"1";"1";"3";"3";NA;"1"
"952";NA;NA;NA;NA;NA;"a5";"Werbung";"3";"6";"3";"2";"2";"2";"4";NA
"956";"männlich";"Ja";"Abitur, Hochschulreife";"23";"10";"a5";"Werbung";"3";"6";"3";"2";"3";"2";"4";NA
"969";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"24";"53";"a1";"Influencerin";"2";"3";"1";"2";"1";"5";NA;"4"
"978";"möchte ich nicht angeben";"Ja";"Abitur, Hochschulreife";"25";"13";"a5";"Werbung";"3";"6";"1";"2";"1";"4";"1";NA
"982";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"26";"13";"a3";"Influencerin";"2";"3";"1";"2";"2";"2";NA;"1"
"990";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";NA;"Werbung";"3";"3";"1";"2";"2";"3";"4";NA
"994";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"01";"a1";"Influencerin";"1";"3";"2";"2";"1";"5";NA;"1"
"1012";"männlich";"Ja";"Abitur, Hochschulreife";"27";"10";"a5";"Werbung";"2";"2";"1";"2";"2";"5";"4";NA
"1009";"weiblich";"Ja";"Abgeschlossene Lehre/Ausbildung";"23";"70";"a1";"Influencerin";"1";"1";"1";"2";"1";"5";NA;"1"
"1019";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"20";"14";"a1";"Werbung";"2";"2";"3";"2";"3";"2";"4";NA
"1033";NA;NA;NA;NA;NA;"a5";"Influencerin";"2";"2";"1";"2";"2";"5";NA;"1"
"1041";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"40";"a1";"Werbung";"2";"2";"3";"2";"3";"4";"1";NA
"1043";NA;NA;NA;NA;NA;"a1";"Influencerin";"2";"3";"3";NA;NA;NA;NA;NA
"1051";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"25";"13";"a5";"Werbung";"3";"6";"1";"2";"3";"4";"1";NA
"1062";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"13";"a1";"Werbung";"3";"6";"1";"2";"2";"4";"1";NA
"1059";"weiblich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"20";"14";"a1";"Influencerin";"2";"2";"1";"2";"2";"4";NA;"1"
"1082";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"13";"a1";"Werbung";"3";"6";"3";"2";"2";"4";"1";NA
"1089";NA;NA;NA;NA;NA;"a1";"Influencerin";"2";"2";"1";NA;NA;NA;NA;NA
"1094";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"24";"10";"a5";"Werbung";"2";"2";"1";"2";"1";"5";"4";NA
"1105";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"79";"a1";"Influencerin";"3";"6";"1";"2";"3";"2";NA;"1"
"1111";"weiblich";"Ja";"Abitur, Hochschulreife";"20";NA;"a1";"Werbung";"1";"1";"1";"2";"2";"4";"1";NA
"1117";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"40";"a1";"Influencerin";"2";"3";"3";"2";"2";"5";NA;"1"
"1123";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"10";"a1";"Influencerin";"3";"6";"3";"2";"1";"5";NA;"1"
"1133";"männlich";"Ja";"Abitur, Hochschulreife";"25";"13";"a5";"Werbung";"2";"3";"2";"2";"1";"4";"4";NA
"1143";NA;NA;NA;NA;NA;"a1";"Influencerin";"2";"3";"1";"2";"4";"2";NA;"1"
"1152";"männlich";"Ja";"Abitur, Hochschulreife";"26";"10";"a5";"Werbung";"4";"6";"2";"2";"4";"2";"1";NA
"1160";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"25";"13";"a3";"Werbung";"3";"6";"1";"2";"3";"4";"1";NA
"1173";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"10";"a2";"Influencerin";"4";"6";"1";"2";"1";"5";NA;"1"
"1183";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"13";"a2";"Influencerin";"3";"3";"3";"2";"1";"4";NA;"1"
"1193";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"13";"a2";"Werbung";"2";"3";"3";"2";"1";"5";"4";NA
"1199";"männlich";"Nein";"Abitur, Hochschulreife";"26";"12";"a2";"Influencerin";"1";"1";"2";"2";"2";"4";NA;"1"
"1205";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"27";"14";"a1";"Werbung";"3";"6";"2";"2";"2";"4";"1";NA
"1212";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"13";"a2";"Werbung";"3";"6";"3";"2";"4";"2";"1";NA
"1220";"männlich";"Ja";"Abitur, Hochschulreife";"20";"17";"a1";"Influencerin";"1";"1";"1";"2";"2";"3";NA;"4"
"1229";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"13";"a4";"Werbung";"1";"2";"1";"1";"2";"4";"1";NA
"1237";"weiblich";"Ja";"Abitur, Hochschulreife";"18";"10";"a2";"Influencerin";"2";"2";"3";"2";"2";"4";NA;"1"
